timestamp,x,y,ssid,bssid,rssi,band,interface,wifi_type,uwb_d1,uwb_d2,uwb_d3,uwb_d4,uwb_rssi1,uwb_rssi2,uwb_rssi3,uwb_rssi4,uwb_rssi_avg,uwb_anchor_count,uwb_rssi_count,uwb_distance_error_m,uwb_distance_error_max_m,uwb_raw,odometry_distance_m,uwb_distance_m,wheel_distance_error_m,heading_drift_deg,last_turn_error_deg
2026-05-23 19:12:06,0.623,1.676,leesu,C6:75:AB:B1:C3:17,-35.0,2.4GHz,wlan1,Dongle,2.18,1.86,3.02,3.13,,,,,,4,0,0.336,0.401,ANCHOR 0x01 : 2.18 m,0.0,0.0,0.0,0.0,-87.3
2026-05-23 19:12:06,0.623,1.676,capstone,B0:38:6C:22:35:17,-46.0,5GHz,wlan1,Dongle,2.18,1.86,3.02,3.13,,,,,,4,0,0.336,0.401,ANCHOR 0x01 : 2.18 m,0.0,0.0,0.0,0.0,-87.3
2026-05-23 19:12:06,0.623,1.676,capstone,B0:38:6C:22:35:16,-49.0,2.4GHz,wlan1,Dongle,2.18,1.86,3.02,3.13,,,,,,4,0,0.336,0.401,ANCHOR 0x01 : 2.18 m,0.0,0.0,0.0,0.0,-87.3
2026-05-23 19:12:06,0.623,1.676,hansung,EC:FC:C6:24:58:D3,-54.0,5GHz,wlan1,Dongle,2.18,1.86,3.02,3.13,,,,,,4,0,0.336,0.401,ANCHOR 0x01 : 2.18 m,0.0,0.0,0.0,0.0,-87.3
2026-05-23 19:12:06,0.623,1.676,,EC:FC:C6:24:58:D1,-55.0,5GHz,wlan1,Dongle,2.18,1.86,3.02,3.13,,,,,,4,0,0.336,0.401,ANCHOR 0x01 : 2.18 m,0.0,0.0,0.0,0.0,-87.3
2026-05-23 19:12:06,0.623,1.676,HANSUNG-INFO,EC:FC:C6:24:58:D2,-55.0,5GHz,wlan1,Dongle,2.18,1.86,3.02,3.13,,,,,,4,0,0.336,0.401,ANCHOR 0x01 : 2.18 m,0.0,0.0,0.0,0.0,-87.3
2026-05-23 19:12:06,0.623,1.676,\xea\xb3\xa0\xeb\x8f\x99\xec\xa7\x84\xec\x9d\x98 iPhone,7A:5C:9A:40:97:67,-59.0,5GHz,wlan1,Dongle,2.18,1.86,3.02,3.13,,,,,,4,0,0.336,0.401,ANCHOR 0x01 : 2.18 m,0.0,0.0,0.0,0.0,-87.3
2026-05-23 19:12:06,0.623,1.676,HANSUNG-INFO,EC:FC:C6:24:58:C2,-66.0,2.4GHz,wlan1,Dongle,2.18,1.86,3.02,3.13,,,,,,4,0,0.336,0.401,ANCHOR 0x01 : 2.18 m,0.0,0.0,0.0,0.0,-87.3
2026-05-23 19:12:06,0.623,1.676,hansung,EC:FC:C6:24:58:C3,-66.0,2.4GHz,wlan1,Dongle,2.18,1.86,3.02,3.13,,,,,,4,0,0.336,0.401,ANCHOR 0x01 : 2.18 m,0.0,0.0,0.0,0.0,-87.3
2026-05-23 19:12:06,0.623,1.676,,EC:FC:C6:24:58:C0,-74.0,2.4GHz,wlan1,Dongle,2.18,1.86,3.02,3.13,,,,,,4,0,0.336,0.401,ANCHOR 0x01 : 2.18 m,0.0,0.0,0.0,0.0,-87.3
